,title,cleaned
1557,Joan Rivers: Don't Start with Me,"Grow up, check your sensitivity at the door and feel the comedic wrath of entertainment icon Joan Rivers. In this brand new live stand-up event Joan goes to great lengths to take on everyone with her trademark wit. With her infectious energy Joan owns the stage from start to finish, leaving the audience in stitches as everything and everybody who's somebody are fair game"
1558,Joaquín Reyes: Una y no más,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
1559,Jodhaa Akbar,"Jodhaa Akbar is a sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal Emperor, Akbar and a Rajput princess, Jodhaa."
1560,Joe Mande's Award-Winning Comedy Special,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more."
1561,Joe Rogan: Strange Times,"Outspoken as ever, comedian Joe Rogan takes on politics, pro wrestling, pot laws, cats, vegans and much more in a stand-up special shot in Boston."
1562,Joe Rogan: Triggered,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins."
1563,John Day,"A mysterious death of a young girl unfolds a web of secrets and a conspiracy. The father of the girl, John day, is a simple , honest and god fearing man. Gautam , a nihilistic cop, the key player behind the tragic incident gets embroiled and sucked into the deep abyss that turns lethal. The thin line that separates the saint and the beast now stands blurred... broken... forever"
1564,John Henry,"Ex-gang member John Henry is a quiet man with a violent past. When two immigrant kids on the run from his former South Los Angeles gang leader stumble into his life, John is forced to reconcile with his past in order to try and give them a future."
1565,John & Jane,"A fresh new blend of observational documentary and tropical science-fiction, JOHN & JANE follows the stories of six call agents that answer American 1-800 numbers in a Mumbai call center. After a heady mix of American culture training and 14 hour night shifts, the job soon starts to take its toll. Counter pointing the fluorescent interiors of late night offices and hyper-malls with the uneasy currents swirling around the characters, JOHN & JANE discovers a young generation of urban Indians that are beginning to live between the real and the virtual. However, this futuristic world of American aliases and simulated reality is not science fiction, these are the times in which we live. JOHN & JANE raises disturbing questions about the nature of personal identity in a 21st century globalised world."
1566,John Leguizamo's Road to Broadway,"Latin History for Morons: John Leguizamo's Road to Broadway captures John's quest to cram 3,000 years of history into 90 minutes of stage time and bring a whole new set of historical characters back to life as one man. Infused throughout the documentary is John's special brand of humor and openness. The road to his ultimate goal - his next Broadway hit - unfolds in a fun, intriguing, and poignant adventure that not only offers an intimate look into the journey of a passionate artist, but also shines a light on the rarely-told stories of Latino heroes who made their mark on America."
1567,John Mulaney: Kid Gorgeous at Radio City,"John Mulaney relays stories from his childhood and ""SNL,"" eviscerates the value of college and laments getting older in this electric comedy special."
1568,John Mulaney: New in Town,"Stand-up comedian John Mulaney tackles such red-hot topics as quicksand, Motown singers and an elderly man he once met in a bathroom."
1569,John Mulaney: The Comeback Kid,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton."
1570,John Mulaney & The Sack Lunch Bunch,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special."
1571,Johnny English Reborn,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike."
1572,Joker,"In 1947 when the maps of India and Pakistan were being drawn, an oversight ensured that the village of Paglapur didn't find a place in either country. Over 60 years later, Paglapur is isolated, and in need of help. The residents seek help, but as a direct result of being left off the map, they find noone willing to accept Paglapur, and its problems, as their jurisdiction. The villagers decide they need to draw media attention to Paglapur, and in so doing, gain acceptance and help from those who had previously denied them."
1573,Jo Koy: Comin’ In Hot,"Comedian Jo Koy takes center stage in Hawaii and shares his honest take on island life, ethnicity, fatherhood and more."
1574,Jo Koy: In His Elements,"Jo Koy returns to the Philippines to show off the local culture and headline a special featuring Filipino American comedians, DJs and hip-hop dancers."
1575,Jo Koy: Live from Seattle,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it."
1576,Jonah,"During Carnival in San Paulo, a young man and young woman who knew each other as children meet again after many years and social barriers have kept them apart. On the day of the festival, Jonah commits a crime and kidnaps Branca in order to keep them both safe from his boss. Hiding in the whale, the main float for this years Carnival, the two reconnect and must make choices that will affect their lives forever."
1577,Jonaki,"While Jonaki, an 80-year-old woman, searches for love in a strange world of decaying memories, her lover, now old and grey, returns to a world she is leaving behind."
1578,Jonathan,"Jonathan is a young man with a strange condition that only his brother understands. But when he begins to yearn for a different life, their unique bond becomes increasingly tested."
1579,Jo Pil-ho: The Dawning Rage,"On the run from a dogged internal affairs agent, a corrupt cop reluctantly teams up with a defiant teen to unravel a conspiracy -- before it's too late."
1580,Jora 10 Numbaria,A man takes revenge on corrupt officials.
1581,Joseph: King of Dreams,"In this animated retelling of the story from the Bible's Book of Genesis, Joseph's gift of dream interpretation and his brilliantly colored coat inspires jealousy in his brothers."
1582,Joshua: Teenager vs. Superpower,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leader in Hong Kong and one of China’s most notorious dissidents."
1583,Journey To Greenland,"Thomas and Thomas are going through a rough patch: they are both thirty-something actors living in Paris. They randomly decide to leave the city and fly away to Kullorsuaq, one of the most remote villages of Greenland, where Thomas' father Nathan lives. Among the Inuit community, they will discover the charms of the local customs and their friendship will be challenged."
1584,Joy,"Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom."
1585,Juanita,"Fed up with her deadbeat grown kids and marginal urban existence, Juanita takes a Greyhound bus to Paper Moon, Montana - where she reinvents herself and finds her mojo."
1586,Judah Friedlander: America Is the Greatest Country in the United States,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1."
1587,Judd Apatow: The Return,"Renowned producer, director and writer Judd Apatow makes his long-awaited return to stand-up comedy with this new special shot in Montreal."
1588,Judge Singh LLB,An inexperienced lawyer takes on the case of an innocent framed for the crime of a politician's son.
1589,Judwaa,"Twin brothers separated at birth, meet in adulthood and join forces to defeat their common enemy, a notorious criminal."
1590,Judwaa 2,"Separated at birth and peculiarly connected via their reflexes, twins Prem and Raja are reunited with each other as they set out to take down the underground smuggling world."
1591,Judy Moody and the Not Bummer Summer,Third-grader Judy Moody sets out to have the most thrilling summer of her life.
1592,Jugaad,"Film JUGAAD, produced by Sandiip Kapur under the banner of Promodome Films and directed by R. Anand Kumar, is RELEASING on 6th February 2009.R. Anand Kumar, who has directed successful Hindi movie DELHI HEIGHTS and around 40 ad commercials, is very upbeat about this comic caper.JUGAAD stars Manoj Bajpai, Hrishitaa Bhatt, Vijay Raz, Sanjay Mishra, Govind Namdeo and is introducing new artiste Nitin."
1593,Juice,"Four Harlem friends -- Bishop, Q, Steel and Raheem -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps."
1594,Julie & Julia,"Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible."
1595,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…"
1596,Just Another Love Story,"Jonas is a Copenhagen homicide scene photographer, happily married, with two kids. One day, his car stalls, another car slams into him, runs head on into a third car and flips into the ditch. The other driver, Julia, is critically injured. He visits her in the hospital and is greeted by her family, who assumes he must be the Sebastian she told them about, the new fiance she met in Vietnam."
1597,Just Friends,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer."
1598,Just Go with It,"A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives."
1599,Justice,A U.S. Marshal seeking justice for his brother's murder defends a small town from a corrupt Mayor and his henchmen with intents to revive the civil war.
1600,Justine,"A woman dealing with the loss of her husband, the struggle of parenthood and finding work in a new state finds solace in her relationship with an 8 year old physically disabled girl named Justine who she takes care of."
1601,Justin Timberlake + The Tennessee Kids,"For Justin Timberlake it's the final two dates of his 20/20 Experience World Tour at the MGM Grand Garden Arena in Las Vegas. Surrounded by the 25 band members of The Tennessee Kids and featuring show-stopping performances from one of the highest-grossing tours of the decade, the film is a culmination of the singer’s 134 shows and 2 years on the road."
1602,Juwanna Mann,"A basketball star is booted out of the NBA when his on-court antics go too far, so he poses as a woman and joins the WUBA."
1603,Kaabil,"Rohan (Hritik roshan) is a kind, happy young man who has been blind since birth and works as a voice-over artist for a living. Through friends, he meets Supriya (Yami Gautam), a working woman who is also blind, but proudly independent. The two start liking each other and get married. Rohan toughest journey starts in his quest of vengeance for Supriya's indirect murderers."
1604,Kaakan,"Star-crossed lovers from different social strata struggle to overcome differences in class and family expectation, as well as a long separation."
1605,Kaake Da Viyah,"A guy's family wants him to get married but it is harder than he thought. On one hand, his grandmother wants him to get married to a girl of her choice, and on the other, his mother is eager to select a girl for him. On top of that, he is already in love with a girl. His dilemma of being stuck between three women forms the crux of the story."
1606,Kaalia,"Kaalia - A name that spells terror in the minds of people, and the police but Kaalia was not always like this. Years ago he was a mere simpleton. Living simply in a shanty ch awl with his elder brother, Shyamlal, Bhabhi (Sister - in - law), whom he adored and their daughter Munni. Apart from them there is no one else in Kallu's little world until one day, an enemy in the guise of Shahani Seth appears. Shahani shatters the happiness in Kallu's life. That same day the young Kallu dies, and the dreaded Kaalia is born, Kaalia's main motive in life becomes wealth, and to destroy Shahani. This path of violence leads Kaalia to inspector Raghubir Singh's jail. Outside of jail, Shahani starts reclaiming his power, and inside jail, Kaalia clashes with Raghubir Singh."
1607,Kaaliyan,"A malayalam film is emerging from the influence of southern narrative songs. Kaaliyan, the film is based on the courageous battle in the history of seventeenth  century, Venad (Travancore). The story develops through Kaaliyan who is the close confidant of Iravikutty Pillai, chief of army of King Ravi varma of Venad. This film is also an effort to unearth Kaaliyan, Kunjirakottu kaali a genuine warrior, who was sidelined due to Iravikutty pillai's  popularity. Kunjirakottu kaali who fought with vigor and valor for sustaining the pride of Venad attained the name Kaaliyan. We proudly present Kaaliyan, who was felicitated even by Madurai emperor Thirumalan Naikan to our viewers."
1608,Kabali,A gangster in Malaysia goes in search of his family after 25 years of imprisonment.
1609,Kabhi Alvida Naa Kehna,"Dev and Maya are both married to different people. Settled into a life of domestic ritual, and convinced that they are happy in their respective relationships, they still yearn for something deeper and more meaningful, which is precisely what they find in each other."
1610,Kabhi Haan Kabhi Naa,"A man belongs to a middle-class family and is intent on pursuing his career with a music group, despite his dad's disapproval. He is also in love with the lead singer, but she sees him mainly as a friend."
1611,Kabhi Khushi Kabhie Gham,"Rahul, the adoptive son of business magnate Yash Raichand, feels eternal gratitude to his father for rescuing him from a life of poverty. Yet, when Yash forbids his love of poor Anjali, Rahul marries her and moves to London with new wife and sister-in-law, breaking the heart of his mother. Ten years later, Rahul's younger brother comes to London intent on brokering peace between father and son."
1612,Kabir Singh,"Kabir Singh, a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry the other person."
1613,Kacche Dhaagey,A Canadian-born girl falls in love with a lower-class boy on a trip to India.
1614,Kaf alqamar,About a lady called Qamar. A mother of five children
1615,Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
1616,Kahlil Gibran's The Prophet,Exiled artist and poet Mustafa embarks on a journey home with his housekeeper and her daughter; together the trio must evade the authorities who fear that the truth in Mustafa's words will incite rebellion.
1617,Kai Po Che!,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
1618,Kajaki,British soldiers guarding the Kajaki Dam set out to rescue a three-man team after one of them loses a leg to a landmine.
1619,Kajraare,"Kajraare is a Bollywood film, released on October 15, 2010. The film is directed by Pooja Bhatt and stars Himesh Reshammiya and Mona Laizza. Himesh plays a singer who falls in love with a bar dancer and the film centralizes on how they find true love. It is the first Hindi film to be shot in Petra, ""the eighth wonder of the world"
1620,Kalakalappu,"A man struggles to save his family-owned restaurant as it is running in loses. He soon falls for a health inspector keen on shutting down the place. When his brother enters the scene, things get worse."
1621,Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
1622,Kaminey,"Two brothers, as different as chalk and cheese, find their lives intertwined when one puts himself in danger via a `get rich quick' scheme and the other finds there is a price on his head."
1623,Kanavu Variyam,A studious and ambitious youngster tries to set up a device to solve the frequent power crisis in his village despite constant discouragement from the public
1624,Kanika,One renowned and reputed doctor encounters unusual paranormal activities and finds his colleagues in same mess. It is his past and involvement of entire team for misuse of their knowledge and positions. Situation becomes critical when killings of crime partner's start and doctor is helpless. He confesses his crime with near ones but they refuse to help and he finds himself alone in the hands of a girl which is a GHOST.
1625,Kannum Kannum Kollaiyadithaal,Siddarth falls head-over-heels in love with Meera but things take a risky turn when they get into a messy situation with a dangerous man.
1626,Kapoor & Sons,"Two brothers return home to visit their ailing grandfather to discover ongoing family problems, emotions get intensified when a girl causes a rift between both of them."
1627,Kappela,"Jessy (Anna Ben) is a girl from a village in the hills of Wayanad. She misdials Vishnu (Roshan), an auto-rickshaw driver and they end up having romantic conversations over the phone. When her parents show interest in marrying her off to a textile shop owner in her village, she decides to meet him in the city."
1628,Kara Bela,"After the death of his wife and father, Kudret, who has always lived by the book, decides to go on a road trip to save a girl."
1629,Kardec,"The story of Allan Kardec, from his days as an educator to his contribution to the spiritist codification."
1630,Karkar,"Karkar (Mohamed Saad) young rich who caused a shock Electric insanity, and after the death of his father, uncle trying Asim (Hassan Hosni) exploit his illness and fraud on him to get his money, and at the same time trying aunt (Please Jiddawi) are the other grabbing the money, they make a deal the two on fool (Karkar), and, following events in the struggle between good and evil."
1631,"Karol Modzelewski, Łukasz „Lotek"" Lodkowski No Offense","Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy."
1632,Karthik Calling Karthik,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone."
1633,Karzzzz,"Singer/Dancer Monty Oberoi meets and falls in love with Tina. He then starts hallucinating and having visions of an unknown place. His doctors advise him to take a break and he decides to travel to Kenya, where Tina resides with her uncle, Kabira, and guardian, Kamini. Monty experiences more incidents and feels as if he has been here before, while Tina notices that he appears to be more attracted to Kamini than herself. Neither are aware that Monty will soon be entrapped in a plot that will result in his sudden death."
1634,Kate & Leopold,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history."
1635,Katherine Ryan: Glitter Room,"Ryan will bring her 2018 UK tour show Glitter Room to Netflix for an hour-long stand-up comedy special after an unprecedented four week run at London’s Garrick Theatre in the West End. The special taped December 11, 2018 at The Belasco Theater in Los Angeles and will launch globally in 2019. GLITTER ROOM is a follow-up to her 2017 Netflix stand-up special KATHERINE RYAN: IN TROUBLE."
1636,Katherine Ryan: In Trouble,"Stand-up comic Katherine Ryan reminisces about unusual relationships, aging, Taylor Swift, life in the hometown she hates and the time she enraged an entire nation."
1637,Kath & Kimderella,Fountain Lakes' foxy ladies who turn more than just heads when they go on an overseas trip and end up being the centre of their very own fairytale.
1638,Kathleen Madigan: Bothering Jesus,Kathleen Madigan's stand up special.
1639,Katti Batti,A man falls in love with a woman because of her outlook on life. They are in a relationship for five years until a sudden turn of events causes a problem in their relationship.
1640,Katt Williams: American Hustle,"Stand-up comedian Katt Williams stars in this feature-length comedy. The film follows Katt as he takes a trip to Hollywood, where he hopes to break into the movie industry. But Katt's dreams lie in tatters when he is cast in increasingly ridiculous and stereotyped roles, so he remembers where his real loyalties lie, and sets off on a stand-up comedy road trip."
1641,Katt Williams: Great America,The king of underground comedy takes the stage in Jacksonville with unflinching riffs on American politics and the raunchy perils of getting old.
1642,Katt Williams: Kattpacalypse,"Katt Williams ushers in Kattpacalypse, exploding with more energy than an atomic bomb and riffing on everything from Doomsday to Obama. Katt Williams has been the best selling urban comic in the last 10 years and proved to have explosive sales across all platforms from DVD to tours."
1643,Katt Williams: Live,"Katt Williams performs in Cincinnati, Ohio."
1644,Katt Williams: The Pimp Chronicles Pt. 1,"Comedian Katt Williams (aka Money Mike) showcases his laugh out loud comedic talents in his first ever HBO stand-up comedy DVD taped in front of a live audience. A native of Cincinnati, Ohio, Williams worked his way up the comedy club ladder before landing key television and film roles that displayed his flashy, sassy, streetwise style."
1645,Kavin Jay: Everybody Calm Down!,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience."
1646,Kaviyude Osyathu,Kaviyude Osyath is a Malayalam Movie Directed by Vineeth Anil and Starring Parkash Bare & Sangeetha Mohan.
1647,K. D.,Karuppudurai runs away from his house and befriends a little child who motivates him to live his life to the fullest.
1648,Keith Richards: Under the Influence,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer."
1649,"Ken Jeong: You Complete Me, Ho","In his first-ever stand-up special, Ken Jeong shares hilarious stories from his Hollywood career -- and reveals how ""The Hangover"" saved his life."
1650,Kenny Sebastian: The Most Interesting Person in the Room,Stand-up comedy special
1651,Kevin Hart: I'm a Grown Little Man,"Fresh off the heels of appearing in movies like Superhero Movie and The 40 Year-Old Virgin, fast-talking comedian Kevin Hart stars in this live stand-up performance where he makes fun of everything and everybody - especially himself."
1652,Kevin Hart: Irresponsible,"Stand-up comedian Kevin Hart talks about his family, travel and a year full of reckless behavior in front of a live sold-out crowd in London."
1653,Kevin Hart: Laugh at My Pain,Experience the show that quickly became a national phenomenon. Get an up-close and personal look at Kevin Hart back in Philly where he began his journey to become one of the funniest comedians of all time. You will laugh 'til it hurts!
1654,Kevin Hart: Let Me Explain,"Captures the laughter, energy and mayhem from Hart's 2012 ""Let Me Explain"" concert tour, which spanned 10 countries and 80 cities, and generated over $32 million in ticket sales."
1655,Kevin Hart: Seriously Funny,"Fresh off the heels of appearing in movies like Superhero Movie and The 40 Year-Old Virgin, fast-talking comedian Kevin Hart stars in his second live stand-up performance in Cleveland, Ohio, where he makes fun of everything and everybody - especially himself."
1656,Kevin Hart's Guide to Black History,Kevin Hart highlights the fascinating contributions of black history's unsung heroes in this entertaining -- and educational -- comedy special.
1657,Kevin Hart: What Now?,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field."
1658,Kevin James: Never Don't Give Up,"Kevin James makes his long-awaited return to stand-up in this family-friendly special, dishing on fatherhood, fans, his disdain for allergies and more."
1659,Kevin James: Sweat the Small Stuff,"Television's ""King of Queens"" reigns again in this Comedy Central special -- the network's first-ever hour-long show devoted entirely to one comic, taped live in July 2001 at New York City's Hudson Theatre. James riffs on life's many ""royal"" pains, including waiting in line with strangers, negotiating with the airport ticket counter clerk, underwear wedgies, boringly slow answering machine messages and more."
1660,Khalek Shanab,"Three young men wake up from sleep, all three discover that they are in strange places and unfamiliar to them, and try to find out what happened in the past hours."
1661,Khido Khundi,Khido Khundi is an inspiring story of 2 brothers and narrates the love for hockey in Punjab.
1662,Khoobsurat,"A vibrant, hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her – and is engaged to someone else."
1663,Khoon Khoon,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry."
1664,Khosla Ka Ghosla!,"Upon retirement, cranky control freak Kamal Kishore Khosla obsesses about procuring a plot of land in Delhi, where he plans to build his dream house. After investing his entire life's savings to acquire the land, he discovers the plot's been stolen by a greedy land shark. Now, Khosla must rely on his comically dysfunctional family to pull off a scam on the biggest goon in real estate and win back."
1665,Khubsoorat,"Nirmala Gupta runs her household and family in a very strict and authoritarian manner. While most of her family resents this, they do obey her and carry out her instructions, so as to be on her good side. Things start to change after her second son gets married to Anju. Manju, Anju's sister, comes over to stay for a few days with the Gupta family, and is accepted by everyone except Nirmala. Nirmala's third son intends to marry Manju. But Manju does not like the manner in which his mom bosses everyone, and feels some changes are needed in the Gupta household"
1666,Kia and Cosmos,"A 15-year-old otherworldly girl Kia, living with her single mother, Dia goes on an audacious journey from Kolkata to Kalimpong in search of her father spurred by the death of a neighbourhood cat, Cosmos. She is diagnosed with Pervasive Developmental Disorder but loves music, mathematics and the colour red and she hates liars, noise and the colour yellow. She loves spy novels and thus indulges in an investigation to find out who killed Cosmos.  A dead father is what Kia knows and her favourite spy-novels are coaxing her to find more about that 'cruel soul' that killed a pregnant cat. But she has to go out of her way to meet and talk to strangers. She is trying to be observant and a little courageous too. Will she be able to find out the truth behind more than one mysteries? What happened to an otherwise educated upper-middle-class family a few years back that led to a situation Kia is getting involved into?"
1667,Kickboxer: Retaliation,"One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced back into Thailand, this time in prison. He is there because the ones responsible want him to face a 6'8"" 400 lbs. beast named Mongkut and in return for the fight, Kurt will get two million dollars and his freedom back. Kurt at first refuses, in which a bounty is placed on his head as a way to force him to face Mongkut. Kurt soon learns he will have no other choice and will undergo his most rigorous training yet under some unexpected mentors in order to face Mongkut in hopes to regain his freedom."
1668,Kickboxer: Vengeance,"Eric and Kurt Sloane are the descendants of a well-known Venice, California-based family of martial artists. Kurt, the younger of the two,  has always been in his brother Eric’s shadow, and despite his talent has been told he lacks the instinct needed to become a champion.  But when Kurt witnesses the merciless murder of his brother at the hands of Muay Thai champion Tong Po, he vows revenge.  He trains with his brother’s mentor for a fight to the death with Tong Po. At first it seems impossible to turn Kurt into the living weapon he must become to beat Tong Po, but through a series of tests and dangerous encounters, Kurt proves he has a deeper strength that will carry him through to his final showdown with Tong Po."
1669,Kicking and Screaming,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
1670,Kid Kulafu,"Before he became one of the world's greatest boxers, Emmanuel ""Manny"" Pacquiao was a young boy living a hand-to-mouth existence, trying to survive from one day to the next. When he discovers his natural talent for boxing, he embarks on a brutal and intense journey that takes him from the mountains of the Philippines to the streets of Manila, and must risk everything to become a champion - for himself, his family, and his country."
1671,Kidnapping Stella,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans."
1672,Killer Klowns from Outer Space,Aliens disguised as clowns crash land on Earth in a rural town to capture unsuspecting victims in cotton candy cocoons for later consumption.
1673,Kill Hitler! The Luck of the Devil,"When Hitler committed suicide in his bunker in Berlin, he managed to do what many others had tried to do for 20 years. This film explores how the fate of Europe and countless lives may have been very different if it hadn't been for the luck of the devil."
1674,Killing Gunther,"A group of eccentric assassins are fed up with Gunther, the world's greatest hitman, and decide to kill him – but their plan turns into a series of bungled encounters as Gunther seems to always be one step ahead."
1675,Killing Them Softly,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse."
1676,Kill the Messenger,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.
1677,Kingdom of Us,"How does a traumatic event shape a family? How do you sift through the memories to find hidden clues and unlock a collective grief? Kingdom of Us takes a look at a mother and her seven children, whose father's suicide left them in financial ruin. Through home movies and raw moments, the Shanks family travels the rocky road towards hope."
1678,King Jack,"Growing up in a rural town filled with violent delinquents, Jack has learned to do what it takes to survive, despite having an oblivious mother and no father. After his aunt falls ill and a younger cousin comes to stay with him, the hardened 15-year-old discovers the importance of friendship, family, and looking for happiness even in the most desolate of circumstances."
1679,King of Boys,"The story of Alhaja Eniola Salami, a businesswoman and philanthropist with a checkered past and a promising political future. As her political ambitions see her outgrowing the underworld connections responsible for her considerable wealth, she's drawn into a power struggle that threatens everything she holds dear."
1680,King of Peking,"When home entertainment enters the market in 90s Beijing, a former projectionist ropes his young son into starting their own pirate movie company, but easy money comes with its own price tag."
1681,Kings,A foster family in South Central a few weeks before the city erupts in violence following the verdict of the Rodney King trial in 1992.
1682,Kisaan,"This sweeping, melodramatic saga of a powerful father, and his two sons, presents an honest view of the rugged life and goals of a simple farming family against the lush green agricultural lands of modern day Punjab."
1683,Kis Kisko Pyaar Karoon,"A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend."
1684,Kismat Konnection,Raj Malhotra is a luckless architect who seeks success but in vain. He bumps into a social activist named Priya. Raj finds out that Priya is a lucky charm for him but unfortunately she is protecting the community center for which he aims to win the contract of demolishing for a brand new shopping mall.
1685,Kiss and Cry,"Fifteen-year-old Sarah has returned to Colmar, where she has taken up high-performance figure skating and competition. The rivalry between the girls and the trainer's harsh words put her body to the test on the ice, while her adolescent desires distract her from her athletic ambitions."
1686,Kiss the Girls,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone."
1687,Klaus,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys."
1688,KL Zombie,"An adaptation of the FIXI novel ""Zombijaya"" by Adib Zaini. The novel itself is inspired by AMC's television drama series ""The Walking Dead"". The film tells the tale of slacker Nipis who becomes a reluctant hero when a zombie outbreak robs him of the only life he knows."
1689,Knock Down the House,"In 2018, a young bartender in the Bronx, a coal miner’s daughter in West Virginia, a grieving mother in Nevada and a registered nurse in Missouri join a movement of insurgent candidates challenging powerful incumbents in Congress. Without political experience or corporate money, these four women are attempting to do what many consider impossible."
1690,Know Your Enemy - Japan,Frank Capra-directed propaganda film produced at the onset of World War II depicting the United States' new enemy: Japan
1691,Kodachrome,"Matt Ryder is convinced to drive his estranged and dying father Benjamin Ryder cross country to deliver four old rolls of Kodachrome film to the last lab in the world that can develop them before it shuts down for good. Along with Ben's nurse Zooey, the three navigate a world changing from analogue to digital while trying to put the past behind them."
1692,Koi Aap Sa,"An emotional Mumbai-based football player, Rohan (Shivdasani), seeks the assistance of childhood friend, Simran (Reddy), to successfully woo fellow-collegian, Preeti (Sharma). Simran herself is about to be engaged to U.S-based Vicky (Malik). After the engagement ceremony, Vicky returns back to the U.S - not realising that back in India nothing is the same anymore..."
1693,Kolaiyuthir Kaalam,"The heiress of a multi-millionaire, a hearing and speech impaired young woman, has to fend off a slasher all alone in her palatial estate."
1694,Komola Rocket,"As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed."
