,title,genres,year,type,originals,description,everything
462,Bhangra Paa Le,"comedy,drama,musical",2020,movie,0,Jaggi comes from a Punjabi background and he aspires to take the popular Punjabi dance form of 'Bhangra' to an international platform and passionately works towards his dream. He meets his college rival in Simi and they both compete with each other to win the international dance competition.,"Jaggi comes from a Punjabi background and he aspires to take the popular Punjabi dance form of 'Bhangra' to an international platform and passionately works towards his dream. He meets his college rival in Simi and they both compete with each other to win the international dance competition. comedy,drama,musical"
463,Bhasmasur,drama,2017,movie,0,"Dhaanu, a poor villager, heavily in financial debt, stealthily returns from the city to the village one night. He is hiding from a moneylender who he owes a handsome sum of money. Pushed against the wall, he decides to sell his donkey, Bhasmasur, in the city. Dhaanu's son Tipu, who yearns to go the annual fair in the city, shares a very strong bond with the donkey, Bhasmasur. Tipu in his own childish ways tries to stop Bhasmasur from being sold, but remains unsuccessful. Dhaanu decides to take Tipu to the city too. The trio set off on a journey from the in lands of Rajasthan towards the city, by foot. Along the journey, numerous events take place, bringing the father and son closer. But, will Dhaanu be able to make this bond last?","Dhaanu, a poor villager, heavily in financial debt, stealthily returns from the city to the village one night. He is hiding from a moneylender who he owes a handsome sum of money. Pushed against the wall, he decides to sell his donkey, Bhasmasur, in the city. Dhaanu's son Tipu, who yearns to go the annual fair in the city, shares a very strong bond with the donkey, Bhasmasur. Tipu in his own childish ways tries to stop Bhasmasur from being sold, but remains unsuccessful. Dhaanu decides to take Tipu to the city too. The trio set off on a journey from the in lands of Rajasthan towards the city, by foot. Along the journey, numerous events take place, bringing the father and son closer. But, will Dhaanu be able to make this bond last? drama"
464,Bhavesh Joshi Superhero,"action-and-adventure,drama",2018,movie,0,"A young man who stands for the right discovers that he's destined to do bigger things, which will transform him from a common man into a Superhero.","A young man who stands for the right discovers that he's destined to do bigger things, which will transform him from a common man into a Superhero. action-and-adventure,drama"
465,Bheemayan,No info,2018,movie,0,"It's Diwali! To celebrate, Chhota Bheem and his friends put on a stage show of the Ramayana, re-enacting the epic story behind the festival of lights.","It's Diwali! To celebrate, Chhota Bheem and his friends put on a stage show of the Ramayana, re-enacting the epic story behind the festival of lights. No info"
466,Bheeshma,"action-and-adventure,comedy,romance,drama",2020,movie,0,"Bheeshma Prasad, a simple meme creator has his life turned around when he wages a war against a powerful agro company that creates harmful chemicals to increase the crop yield and make more money.","Bheeshma Prasad, a simple meme creator has his life turned around when he wages a war against a powerful agro company that creates harmful chemicals to increase the crop yield and make more money. action-and-adventure,comedy,romance,drama"
467,Bhool Bhulaiyaa,"comedy,horror,mystery,thriller",2007,movie,0,"When U.S.-based Siddharth visits his Indian home town with his new wife, he insists they stay at the ancestral home, laughing off family members' warnings of ghostly goings-on in the mansion. But events soon make him reconsider his beliefs. As unexplained and terrifying occurrences arise, Siddharth calls on his doctor friend to help solve the mystery. What will be the outcome? Will Siddharth's friend be able to solve this riddle?","When U.S.-based Siddharth visits his Indian home town with his new wife, he insists they stay at the ancestral home, laughing off family members' warnings of ghostly goings-on in the mansion. But events soon make him reconsider his beliefs. As unexplained and terrifying occurrences arise, Siddharth calls on his doctor friend to help solve the mystery. What will be the outcome? Will Siddharth's friend be able to solve this riddle? comedy,horror,mystery,thriller"
468,Bhoopadathil Illatha Oridam,"comedy,drama",2012,movie,0,"Life changes for Madhavankutty, a school teacher after he witnesses a theft at a money lender's shop in his village, which has no identity of its own.","Life changes for Madhavankutty, a school teacher after he witnesses a theft at a money lender's shop in his village, which has no identity of its own. comedy,drama"
469,Bhoot,"horror,thriller,mystery",2003,movie,0,"A Mumbai businessman and his wife are looking for a new flat. Apartment 1201 has been vacant since its previous occupant jumped to her death. Undeterred, the couple still decides to move in, but before long, the wife starts to have visions.","A Mumbai businessman and his wife are looking for a new flat. Apartment 1201 has been vacant since its previous occupant jumped to her death. Undeterred, the couple still decides to move in, but before long, the wife starts to have visions. horror,thriller,mystery"
470,Bhouri,drama,2017,movie,0,"A tragic love story of Bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society.","A tragic love story of Bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society. drama"
471,Bibi & Tina,"fantasy,action-and-adventure,family",2014,movie,0,The Girl Witch Bibi Blocksberg and her best friend Tina have adventures on a horse ranch...,"The Girl Witch Bibi Blocksberg and her best friend Tina have adventures on a horse ranch... fantasy,action-and-adventure,family"
472,Bibi & Tina: Bewildered and Bewitched,"action-and-adventure,family",2014,movie,0,"Sequel to the Movie ""Bibi & Tina - Der Film"" about a teen witch, her best friend and their horses.","Sequel to the Movie ""Bibi & Tina - Der Film"" about a teen witch, her best friend and their horses. action-and-adventure,family"
473,Bibi & Tina: Girls vs. Boys,"action-and-adventure,comedy,family,fantasy",2016,movie,0,"Third part in the ""Bibi & Tina""-Franchise about the girl witch Bibi, her best friend Tina and their adventures on a pony farm...","Third part in the ""Bibi & Tina""-Franchise about the girl witch Bibi, her best friend Tina and their adventures on a pony farm... action-and-adventure,comedy,family,fantasy"
474,Bibi & Tina: Perfect Pandemonium,"action-and-adventure,comedy,drama,fantasy,family",2017,movie,0,"It's perfect pandemonium when Bibi and Tina meet a runaway boy with an attitude problem, who turns out to actually be a girl, named Adea. Adea‘s uncle is so narrow-minded and stubborn that even with all her magic spells, Bibi can't manage to get the two to reconcile. Meanwhile, Falkenstein Castle is being renovated, which is driving the Count to his wits' end. Especially since Alex is planning to hold a music festival at Falkenstein and is determined to go through with it over his father's objections. And if all that was not enough, Tina gets kidnapped. Despite the complete chaos, one thing is clear - in the end, real change comes from everybody working and pulling together, not by magic.","It's perfect pandemonium when Bibi and Tina meet a runaway boy with an attitude problem, who turns out to actually be a girl, named Adea. Adea‘s uncle is so narrow-minded and stubborn that even with all her magic spells, Bibi can't manage to get the two to reconcile. Meanwhile, Falkenstein Castle is being renovated, which is driving the Count to his wits' end. Especially since Alex is planning to hold a music festival at Falkenstein and is determined to go through with it over his father's objections. And if all that was not enough, Tina gets kidnapped. Despite the complete chaos, one thing is clear - in the end, real change comes from everybody working and pulling together, not by magic. action-and-adventure,comedy,drama,fantasy,family"
475,Big Kill,action-and-adventure,2018,movie,0,"A tenderfoot from Philadelphia, two misfit gamblers on the run, and a deadly preacher have a date with destiny in a boom town gone bust called Big Kill.","A tenderfoot from Philadelphia, two misfit gamblers on the run, and a deadly preacher have a date with destiny in a boom town gone bust called Big Kill. action-and-adventure"
476,Big Miracle,"biography,drama,romance,family,action-and-adventure",2012,movie,0,"Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the Arctic Circle. ‘Big Miracle’ is adapted from the nonfiction book ‘Freeing the Whales: How the Media Created the World’s Greatest Non-Event’ by Tom Rose.","Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the Arctic Circle. ‘Big Miracle’ is adapted from the nonfiction book ‘Freeing the Whales: How the Media Created the World’s Greatest Non-Event’ by Tom Rose. biography,drama,romance,family,action-and-adventure"
477,Big Stone Gap,"comedy,romance",2014,movie,0,"A story centered around a transitional point in the life of Ave Maria Mulligan, the heart of her community in the Appalachian Mountains of Virginia.","A story centered around a transitional point in the life of Ave Maria Mulligan, the heart of her community in the Appalachian Mountains of Virginia. comedy,romance"
478,Big Time Movie,"comedy,family",2012,movie,0,"In Big Time Movie, the guys must tap their inner spy as their adventure finds them driving exotic cars and jumping out of helicopters, while trying to make it to their first world tour concert on time. Hot on their trail are evil henchmen named Maxwell, British secret agents and Swedish spies as well as billionaire businessman, Sir Atticus Moon who wants back his precious device code named: “The Beetle,” an anti-gravitational device with enormous power. Once they learn they’re carrying this precious cargo, the guys get pulled into a madcap mission throughout London, which threatens the onset of their world tour.  With the help of teen spy Penny Lane, the guys set out to save Penny’s father MI6 Agent Simon Lane and stop Sir Atticus Moon’s plot to use “The Beetle” to gain world domination (Nickpress).","In Big Time Movie, the guys must tap their inner spy as their adventure finds them driving exotic cars and jumping out of helicopters, while trying to make it to their first world tour concert on time. Hot on their trail are evil henchmen named Maxwell, British secret agents and Swedish spies as well as billionaire businessman, Sir Atticus Moon who wants back his precious device code named: “The Beetle,” an anti-gravitational device with enormous power. Once they learn they’re carrying this precious cargo, the guys get pulled into a madcap mission throughout London, which threatens the onset of their world tour.  With the help of teen spy Penny Lane, the guys set out to save Penny’s father MI6 Agent Simon Lane and stop Sir Atticus Moon’s plot to use “The Beetle” to gain world domination (Nickpress). comedy,family"
479,"Bikram: Yogi, Guru, Predator","documentary,crime",2019,movie,1,The spectacular rise and scandalous fall of hot-yoga evangelist Bikram Choudhury is chronicled through archival footage and extensive insider interviews.,"The spectacular rise and scandalous fall of hot-yoga evangelist Bikram Choudhury is chronicled through archival footage and extensive insider interviews. documentary,crime"
480,Bill Burr: I'm Sorry You Feel That Way,"comedy,stand-up-and-talk",2014,movie,1,"Fresh, unflinching and devastatingly honest, Bill Burr lets loose in this feature length comedy special. Burr shares his essential tips for surviving the zombie apocalypse, exposes how rom-coms ruin great sex and explains how too many childhood hugs may be the ultimate downfall of man.","Fresh, unflinching and devastatingly honest, Bill Burr lets loose in this feature length comedy special. Burr shares his essential tips for surviving the zombie apocalypse, exposes how rom-coms ruin great sex and explains how too many childhood hugs may be the ultimate downfall of man. comedy,stand-up-and-talk"
481,Bill Burr: Let It Go,"comedy,documentary",2010,movie,0,"It’s always been a dream of mine to do a show at the Fillmore. The name itself is synonymous with legendary performances. Countless iconic musicians and comedians have been on that stage. To be a part of that history was something I’ll never forget. As much as I was trying to keep my head together before the show, I couldn’t help but feel like a tourist or just some random dude who won a contest. LET IT GO represents the culmination of material I developed on the road from 2008-2009. As always thanks to everyone who came out to my shows, laughed at the funny stuff and stared during the bombing. I hope you enjoy it. – Bill Burr","It’s always been a dream of mine to do a show at the Fillmore. The name itself is synonymous with legendary performances. Countless iconic musicians and comedians have been on that stage. To be a part of that history was something I’ll never forget. As much as I was trying to keep my head together before the show, I couldn’t help but feel like a tourist or just some random dude who won a contest. LET IT GO represents the culmination of material I developed on the road from 2008-2009. As always thanks to everyone who came out to my shows, laughed at the funny stuff and stared during the bombing. I hope you enjoy it. – Bill Burr comedy,documentary"
482,Bill Burr: Paper Tiger,"comedy,stand-up-and-talk",2019,movie,1,"Comedian Bill Burr talks male feminists, outrage culture, robot sex, and cultural appropriation in this standup comedy special shot in London.","Comedian Bill Burr talks male feminists, outrage culture, robot sex, and cultural appropriation in this standup comedy special shot in London. comedy,stand-up-and-talk"
483,Bill Burr: Walk Your Way Out,"comedy,stand-up-and-talk,documentary",2017,movie,1,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.","No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language. comedy,stand-up-and-talk,documentary"
484,Bill Burr: You People Are All The Same,"comedy,stand-up-and-talk",2012,movie,0,"Taking the stage in Washington, D.C., funnyman Bill Burr brings his stinging brand of humor to the spotlight, uncorking a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more.","Taking the stage in Washington, D.C., funnyman Bill Burr brings his stinging brand of humor to the spotlight, uncorking a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more. comedy,stand-up-and-talk"
485,Bill Hicks: One Night Stand,"documentary,stand-up-and-talk,comedy",1991,movie,0,"Bill Hicks shows us his view on smoking, smoking pot, drinking, sex, advertisement and music. It's not a view you hear very often.","Bill Hicks shows us his view on smoking, smoking pot, drinking, sex, advertisement and music. It's not a view you hear very often. documentary,stand-up-and-talk,comedy"
486,Bill Hicks: Reflections,documentary,2015,movie,0,"Comedy Dynamics sits down with Bill Hicks’ brother, Steve, who tells old stories, squashes old rumors and reveals the brother and son behind the late comedian. Told amidst old and rare footage, it’s a must watch for any fan.","Comedy Dynamics sits down with Bill Hicks’ brother, Steve, who tells old stories, squashes old rumors and reveals the brother and son behind the late comedian. Told amidst old and rare footage, it’s a must watch for any fan. documentary"
487,Bill Hicks: Relentless,"documentary,stand-up-and-talk,cult,comedy",1992,movie,0,"Outspoken and raw, not mincing matters, Bill Hicks tells us that, just like smokers, non-smokers also die every day - with jogging instructor Jim Fixx as an example -, asks women what's so terrible about giving head, talks us through what really happened during the 1990-1991 Gulf War and how the used technology could have also been used to feed the poor of the world.","Outspoken and raw, not mincing matters, Bill Hicks tells us that, just like smokers, non-smokers also die every day - with jogging instructor Jim Fixx as an example -, asks women what's so terrible about giving head, talks us through what really happened during the 1990-1991 Gulf War and how the used technology could have also been used to feed the poor of the world. documentary,stand-up-and-talk,cult,comedy"
488,Bill Hicks: Revelations,"documentary,stand-up-and-talk,comedy",1993,movie,0,"Since his untimely death from pancreatic cancer in 1994, Bill Hicks has become a comedy legend. Now fans who may have never had the opportunity to see his act live on-stage will finally be able to experience Hicks' unique and confrontational brand of comedy.","Since his untimely death from pancreatic cancer in 1994, Bill Hicks has become a comedy legend. Now fans who may have never had the opportunity to see his act live on-stage will finally be able to experience Hicks' unique and confrontational brand of comedy. documentary,stand-up-and-talk,comedy"
489,Bill Hicks: Sane Man,"documentary,stand-up-and-talk,cult,comedy",1989,movie,0,"The amazing comedian Bill Hicks passed away in 1994, but his legend continues to grow. Sane Man was filmed before Bill recorded ""Dangerous,"" his first comedy album, and is a turning point in Hicks' career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless","The amazing comedian Bill Hicks passed away in 1994, but his legend continues to grow. Sane Man was filmed before Bill recorded ""Dangerous,"" his first comedy album, and is a turning point in Hicks' career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless documentary,stand-up-and-talk,cult,comedy"
490,Bill Nye: Science Guy,documentary,2017,movie,0,"Bill Nye is retiring his kid show act in a bid to become more like his late professor, astronomer Carl Sagan. Sagan dreamed of launching a spacecraft that could revolutionize interplanetary exploration. Bill sets out to accomplish Sagan's mission, but he is pulled away when he is challenged by evolution and climate change contrarians to defend the scientific consensus. Can Bill show the world why science matters in a culture increasingly indifferent to evidence?","Bill Nye is retiring his kid show act in a bid to become more like his late professor, astronomer Carl Sagan. Sagan dreamed of launching a spacecraft that could revolutionize interplanetary exploration. Bill sets out to accomplish Sagan's mission, but he is pulled away when he is challenged by evolution and climate change contrarians to defend the scientific consensus. Can Bill show the world why science matters in a culture increasingly indifferent to evidence? documentary"
491,Billu,"comedy,drama",2009,movie,0,"When a famous Bollywood actor visits a small village for a film's shoot, a lowly hairdressers claim that they were once childhood friends soon makes him the centre of attention.","When a famous Bollywood actor visits a small village for a film's shoot, a lowly hairdressers claim that they were once childhood friends soon makes him the centre of attention. comedy,drama"
492,Bilu: A Demon Within,"drama,fantasy",2017,movie,0,"The story of ""Bilu Rakkhosh"" revolves around the central protagonist ""Bilu"" who is a direct product of the hollow modernization the current times are going through. Bilu works in IT in a typical corporate environment, although Bilu finds himself strangled and gasping. He loves singing and always wanted to pursue his career as a singer. But he has got trapped himself within his own demons (hence the name!). Bilu is a man stuck in time. His life circles around the same circumference every day, piling up on the frustration of not being able to follow his heart. In search of an escape Bilu who rebelled to be a puppet of the reality imposed by others as he creates his own through his delusions, for Bilu albeit living with inviolable demons inside, is also a dreamer.","The story of ""Bilu Rakkhosh"" revolves around the central protagonist ""Bilu"" who is a direct product of the hollow modernization the current times are going through. Bilu works in IT in a typical corporate environment, although Bilu finds himself strangled and gasping. He loves singing and always wanted to pursue his career as a singer. But he has got trapped himself within his own demons (hence the name!). Bilu is a man stuck in time. His life circles around the same circumference every day, piling up on the frustration of not being able to follow his heart. In search of an escape Bilu who rebelled to be a puppet of the reality imposed by others as he creates his own through his delusions, for Bilu albeit living with inviolable demons inside, is also a dreamer. drama,fantasy"
493,Bioscope,drama,2015,movie,0,Bioscope is an anthology film having 4 short films inspired from 4 poems.,Bioscope is an anthology film having 4 short films inspired from 4 poems. drama
494,Bir Baba Hindu,"action-and-adventure,comedy,musical,romance",2016,movie,0,"Fadil, one of the fiercest mobsters of Turkey, one day falls in love with his Indian yoga instructor, Gundhi. Once Gundhi is kidnapped from Fadil's mansion Fadil sets out to India with his trustworthy friend Hulusi. He plans to rescue Gundhi and win her heart but this is a tough job as Gundhi's mother is one of the fiercest mobsters of India. With the help of a Turkish municipality worker in Mumbai, Fadil and Hulusi get entangled in numerous adventures as they try to reach Gundhi. Laughter ensues once Fadil's parents arrive in town. Will Fadil be able to save Gundhi and have his happy ending?","Fadil, one of the fiercest mobsters of Turkey, one day falls in love with his Indian yoga instructor, Gundhi. Once Gundhi is kidnapped from Fadil's mansion Fadil sets out to India with his trustworthy friend Hulusi. He plans to rescue Gundhi and win her heart but this is a tough job as Gundhi's mother is one of the fiercest mobsters of India. With the help of a Turkish municipality worker in Mumbai, Fadil and Hulusi get entangled in numerous adventures as they try to reach Gundhi. Laughter ensues once Fadil's parents arrive in town. Will Fadil be able to save Gundhi and have his happy ending? action-and-adventure,comedy,musical,romance"
495,Bird Box,"thriller,drama,science-fiction,mystery,horror",2018,movie,1,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety. thriller,drama,science-fiction,mystery,horror"
496,Birders,documentary,2019,movie,1,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species. documentary
497,Birdshot,"drama,mystery,thriller",2016,movie,0,"A farm girl mistakenly shoots and kills an endangered Philippine Eagle. When authorities begin a manhunt to track down the eagle’s killer, they stumble upon an even more horrific discovery.","A farm girl mistakenly shoots and kills an endangered Philippine Eagle. When authorities begin a manhunt to track down the eagle’s killer, they stumble upon an even more horrific discovery. drama,mystery,thriller"
498,Birthmarked,comedy,2018,movie,0,Two scientists raise 3 children contrarily to their genetic tendencies to prove the ultimate power of nurture over nature.,Two scientists raise 3 children contrarily to their genetic tendencies to prove the ultimate power of nurture over nature. comedy
499,Birth Reborn,"documentary,family,history",2013,movie,0,"The feature film ' The Birth Reborn' portrays the serious obstetric reality in the world, which is characterized by an alarming number of cesarean or deliveries with traumatic and unnecessary interventions, as opposed to what is known and recommended by science today. This situation has serious perinatal, psychological, social, anthropological and financial consequences. Through the reports of some of the leading experts in the area and the latest scientific discoveries, the film questions the current obstetric model, leads to a reflection on the new paradigm of the twenty-first century and the future of a civilization born without the so-called 'love hormones', released only under specific conditions of labor.","The feature film ' The Birth Reborn' portrays the serious obstetric reality in the world, which is characterized by an alarming number of cesarean or deliveries with traumatic and unnecessary interventions, as opposed to what is known and recommended by science today. This situation has serious perinatal, psychological, social, anthropological and financial consequences. Through the reports of some of the leading experts in the area and the latest scientific discoveries, the film questions the current obstetric model, leads to a reflection on the new paradigm of the twenty-first century and the future of a civilization born without the so-called 'love hormones', released only under specific conditions of labor. documentary,family,history"
500,Bitter / Sweet,"comedy,romance,drama",2009,movie,0,"American businessman Brian Chandler has a perfect life with a great job and beautiful fiancée. When his boss, renegade coffee mogul Calvert Jenkins sends him to Thailand to inspect a crop for purchase, Brian meets Ticha, a beautiful Bangkok executive who has long-since given up on the prospects of finding love.","American businessman Brian Chandler has a perfect life with a great job and beautiful fiancée. When his boss, renegade coffee mogul Calvert Jenkins sends him to Thailand to inspect a crop for purchase, Brian meets Ticha, a beautiful Bangkok executive who has long-since given up on the prospects of finding love. comedy,romance,drama"
501,Blackfish,"documentary,drama",2013,movie,0,"Notorious killer whale Tilikum is responsible for the deaths of three individuals, including a top killer whale trainer. Blackfish shows the sometimes devastating consequences of keeping such intelligent and sentient creatures in captivity.","Notorious killer whale Tilikum is responsible for the deaths of three individuals, including a top killer whale trainer. Blackfish shows the sometimes devastating consequences of keeping such intelligent and sentient creatures in captivity. documentary,drama"
502,Black Hole Apocalypse,"documentary,biography",2018,movie,0,"Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race.","Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race. documentary,biography"
503,Black Man White Skin,No info,2015,movie,0,This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.,This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain. No info
504,Black Mirror: Bandersnatch,"drama,mystery,science-fiction,thriller",2018,movie,1,"A young programmer makes a fantasy novel into a game. Soon, reality and virtual world are mixed and start to create confusion.","A young programmer makes a fantasy novel into a game. Soon, reality and virtual world are mixed and start to create confusion. drama,mystery,science-fiction,thriller"
505,Black & Privileged: Volume 1,drama,2019,movie,0,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status.","When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status. drama"
506,Black Rose,"action-and-adventure,crime,drama",2014,movie,0,A Russian Police Major is enlisted by the LAPD to help solve a series of gruesome murders perpetrated against young women by a sadistic sociopathic killer on the mean streets of Hollywood.,"A Russian Police Major is enlisted by the LAPD to help solve a series of gruesome murders perpetrated against young women by a sadistic sociopathic killer on the mean streets of Hollywood. action-and-adventure,crime,drama"
507,Black Sea,"action-and-adventure,thriller,drama,mystery",2014,movie,0,"A rogue submarine captain pulls together a misfit crew to go after a sunken treasure rumored to be lost in the depths of the Black Sea. As greed and desperation take control on-board their claustrophobic vessel, the increasing uncertainty of the mission causes the men to turn on each other to fight for their own survival.","A rogue submarine captain pulls together a misfit crew to go after a sunken treasure rumored to be lost in the depths of the Black Sea. As greed and desperation take control on-board their claustrophobic vessel, the increasing uncertainty of the mission causes the men to turn on each other to fight for their own survival. action-and-adventure,thriller,drama,mystery"
508,Black Site Delta,action-and-adventure,2017,movie,0,"A group of military prisoners must fight off a terrorist attack on their prison which, unbeknownst to them, is a cover for a secret drone control facility.","A group of military prisoners must fight off a terrorist attack on their prison which, unbeknownst to them, is a cover for a secret drone control facility. action-and-adventure"
509,Black Snow,"crime,drama,mystery,thriller",2017,movie,0,"Accused of killing his brother during adolescence, Salvador lives alone in the middle of Patagonia. Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance.","Accused of killing his brother during adolescence, Salvador lives alone in the middle of Patagonia. Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance. crime,drama,mystery,thriller"
510,Blame!,"animation,anime,science-fiction,drama,mystery,thriller,action-and-adventure",No info,movie,1,"In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world.","In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world. animation,anime,science-fiction,drama,mystery,thriller,action-and-adventure"
511,Bleach,"action-and-adventure,fantasy",2018,movie,1,"High school student Ichigo Kurosaki lives an ordinary life, besides being able to see ghosts and the blurry memories of his mother death under strange circumstances when he was a kid. His peaceful world suddenly breaks as he meets Rukia Kuchiki, a God of Death.","High school student Ichigo Kurosaki lives an ordinary life, besides being able to see ghosts and the blurry memories of his mother death under strange circumstances when he was a kid. His peaceful world suddenly breaks as he meets Rukia Kuchiki, a God of Death. action-and-adventure,fantasy"
512,Bleach the Movie: Fade to Black,"animation,anime,action-and-adventure,drama,fantasy,comedy",2008,movie,0,"A mysterious reiatsu (spiritual particle) explosion occurs in the center of Seireitei in Soul Society, causing it to be destroyed. At the exact same time, a major change overwhelms Kuchiki Rukia, which leaves her losing something important inside. Urahara Kisuke sends Kurosaki Ichigo to Soul Society to investigate the disturbance. Upon reaching Seireitei, Ichigo is attacked by his ally shinigamis","A mysterious reiatsu (spiritual particle) explosion occurs in the center of Seireitei in Soul Society, causing it to be destroyed. At the exact same time, a major change overwhelms Kuchiki Rukia, which leaves her losing something important inside. Urahara Kisuke sends Kurosaki Ichigo to Soul Society to investigate the disturbance. Upon reaching Seireitei, Ichigo is attacked by his ally shinigamis animation,anime,action-and-adventure,drama,fantasy,comedy"
513,Bleach the Movie: Hell Verse,"animation,anime,action-and-adventure,fantasy,comedy",2010,movie,0,"Hell – A place where beings that have committed mortal sins during their lifetime are sent. It is a realm where even Soul Reapers are forbidden to interfere. When a group of vicious Sinners plot to escape from this eternal prison, they discover that Substitute Soul Reaper Ichigo Kurosaki is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister Yuzu and take her to Hell. With the help of a mysterious man named Kokuto, Ichigo and his friends must now travel into the depths of Hell to stop the Sinners and save Yuzu, unaware that their actions could bring Hell to the World of the Living.","Hell – A place where beings that have committed mortal sins during their lifetime are sent. It is a realm where even Soul Reapers are forbidden to interfere. When a group of vicious Sinners plot to escape from this eternal prison, they discover that Substitute Soul Reaper Ichigo Kurosaki is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister Yuzu and take her to Hell. With the help of a mysterious man named Kokuto, Ichigo and his friends must now travel into the depths of Hell to stop the Sinners and save Yuzu, unaware that their actions could bring Hell to the World of the Living. animation,anime,action-and-adventure,fantasy,comedy"
514,Bleed for This,"drama,biography,sport",2016,movie,0,"The inspirational story of World Champion Boxer Vinny Pazienza, who after a near fatal car crash, which left him not knowing if he'd ever walk again, made one of sports most incredible comebacks.","The inspirational story of World Champion Boxer Vinny Pazienza, who after a near fatal car crash, which left him not knowing if he'd ever walk again, made one of sports most incredible comebacks. drama,biography,sport"
515,Blessed Benefit,"comedy,drama",2016,movie,0,"Imprisoned on an unfair charge of fraud, a mild-mannered Jordanian contractor discovers that prison has its own rhythms, rules, and economies — and he soon begins to carve out a position for himself in this place where fraud isn’t a crime so much as a way of life.","Imprisoned on an unfair charge of fraud, a mild-mannered Jordanian contractor discovers that prison has its own rhythms, rules, and economies — and he soon begins to carve out a position for himself in this place where fraud isn’t a crime so much as a way of life. comedy,drama"
516,Blind Date,"comedy,romance,drama",2015,movie,0,He invents puzzles. He’s committed body and soul to his work and needs silence to be able to concentrate. She is an accomplished pianist and can’t live without music. She must prepare for a competition that could change her life. They are going to be forced to coexist without seeing each other.,"He invents puzzles. He’s committed body and soul to his work and needs silence to be able to concentrate. She is an accomplished pianist and can’t live without music. She must prepare for a competition that could change her life. They are going to be forced to coexist without seeing each other. comedy,romance,drama"
